Fiscal Year,Year Month,Borough,Time View,Is FY Total,Is Month Total,Check Row,Requests,Requests (Daily)
FY2025,2024-08,UNKNOWN,YoY %,FALSE,FALSE,1,,
FY2025,2024-09,BRONX,Current,FALSE,FALSE,1,69356,69356
FY2025,2024-09,BRONX,FYTD,FALSE,FALSE,1,69356,
FY2025,2024-09,BRONX,PY,FALSE,FALSE,1,,
FY2025,2024-09,BRONX,YoY %,FALSE,FALSE,1,,
FY2025,2024-09,BROOKLYN,Current,FALSE,FALSE,1,91446,91446
FY2025,2024-09,BROOKLYN,FYTD,FALSE,FALSE,1,91446,
FY2025,2024-09,BROOKLYN,PY,FALSE,FALSE,1,,
FY2025,2024-09,BROOKLYN,YoY %,FALSE,FALSE,1,,
FY2025,2024-09,MANHATTAN,Current,FALSE,FALSE,1,63751,63751
FY2025,2024-09,MANHATTAN,FYTD,FALSE,FALSE,1,63751,
FY2025,2024-09,MANHATTAN,PY,FALSE,FALSE,1,,
FY2025,2024-09,MANHATTAN,YoY %,FALSE,FALSE,1,,
FY2025,2024-09,QUEENS,Current,FALSE,FALSE,1,71590,71590
FY2025,2024-09,QUEENS,FYTD,FALSE,FALSE,1,71590,
FY2025,2024-09,QUEENS,PY,FALSE,FALSE,1,,
FY2025,2024-09,QUEENS,YoY %,FALSE,FALSE,1,,
FY2025,2024-09,STATEN ISLAND,Current,FALSE,FALSE,1,10396,10396
FY2025,2024-09,STATEN ISLAND,FYTD,FALSE,FALSE,1,10396,
FY2025,2024-09,STATEN ISLAND,PY,FALSE,FALSE,1,,
FY2025,2024-09,STATEN ISLAND,YoY %,FALSE,FALSE,1,,
FY2025,2024-09,UNKNOWN,Current,FALSE,FALSE,1,231,231
FY2025,2024-09,UNKNOWN,FYTD,FALSE,FALSE,1,231,
FY2025,2024-09,UNKNOWN,PY,FALSE,FALSE,1,,
FY2025,2024-09,UNKNOWN,YoY %,FALSE,FALSE,1,,
FY2025,2024-10,BRONX,Current,FALSE,FALSE,1,64724,64724
FY2025,2024-10,BRONX,FYTD,FALSE,FALSE,1,134080,
FY2025,2024-10,BRONX,PY,FALSE,FALSE,1,,
FY2025,2024-10,BRONX,YoY %,FALSE,FALSE,1,,
FY2025,2024-10,BROOKLYN,Current,FALSE,FALSE,1,90933,90933
FY2025,2024-10,BROOKLYN,FYTD,FALSE,FALSE,1,182379,
FY2025,2024-10,BROOKLYN,PY,FALSE,FALSE,1,,
FY2025,2024-10,BROOKLYN,YoY %,FALSE,FALSE,1,,
FY2025,2024-10,MANHATTAN,Current,FALSE,FALSE,1,67611,67611
FY2025,2024-10,MANHATTAN,FYTD,FALSE,FALSE,1,131362,
FY2025,2024-10,MANHATTAN,PY,FALSE,FALSE,1,,
